Protein	Gene Symbol	# Proteins	Category	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
O15131	KPNA5	1	HUMAN	57859.3	64418	71799.8	71148.5	65884.1	73446.8
O15143	ARPC1B	1	HUMAN	22563.7	22687.9	28432.6	27480.9	30415.3	26428.6
O15144	ARPC2	1	HUMAN	95511	82875.8	101468	108477	114696	106493
O15145	ARPC3	1	HUMAN	165566	153111	165930	158479	156068	151524
O15155	BET1	1	HUMAN	4424.82	4830	6557.2	8367	8358.2	9782.86
O15160	POLR1C	1	HUMAN	95974.1	94767.4	100571	102259	90949.6	93907.1
O15162	PLSCR1	1	HUMAN				888.943		
O15164	TRIM24	1	HUMAN	10918.7	8189.24	9030.05	9012.54	9681.67	8652.75
O15169	AXIN1	1	HUMAN	2350.39		608.368	1076.52	726.331	
O15173	PGRMC2	1	HUMAN	99873.1	86016.9	101794	89909.3	67103.1	70595.3
O15182	CETN3	1	HUMAN	2903.8	2454.39	5684.63	5664.1	7061.06	5678.7
O15198	SMAD9	1	HUMAN	27328.6	47527.1	50257.8	51646.6	47216.3	60931.7
O15212	PFDN6	1	HUMAN	65381.7	65703.5	71535.4	73858.3	43565.7	46775.2
O15213	WDR46	1	HUMAN	11037	1831.37	5315.49	6810	2764.4	6032.37
O15217	GSTA4	1	HUMAN	3063.44	2527.75	3798.13	6260.26	3447.91	5425.65
O15226	NKRF	1	HUMAN	50111.4	42893.4	49572.3	51254.3	45993.2	46607.4
O15228	GNPAT	1	HUMAN	23588.5	19340.4	23486.7	25569.1	23399	22538.7
O15231	ZNF185	1	HUMAN	757.106	1399.71	665.463		1368.11	1070.62
O15234	CASC3	1	HUMAN	7665.65	6139.86	8449.47	8556.32	8665.76	7938.79
O15235	MRPS12	1	HUMAN	7891.34	5537.77	15203.4	14016.7	17963.4	20452.8
O15240	VGF	1	HUMAN	212701	236219	232202	214356	120381	170523
O15243	LEPROT	1	HUMAN	907.788	1704.38	896.46	1191.96	818.045	1321.82
O15247	CLIC2	1	HUMAN	5601.63		9757.8	9930.81	9474.41	7817.8
O15254	ACOX3	1	HUMAN	6030.36	6799.7	5731.7	5520.56	5737.37	5598.22
O15258	RER1	1	HUMAN	40501.2	42263.5	57141	45576.1	54646.1	45790.5
O15260	SURF4	1	HUMAN	103679	112500	109706	130795	112060	119000
O15264	MAPK13	1	HUMAN	101174	101149	106457	112556	80261.4	83367.3
O15269	SPTLC1	1	HUMAN	55481.1	49612	56128	57793.8	61630.9	63147.9
O15270	SPTLC2	1	HUMAN	16407.6	14219.7	19036.3	16889.8	19491.9	18115.6
O15287	FANCG	1	HUMAN	5125.03	5533.32	6159.09	3356.6	5230.03	4991.17
O15294	OGT	1	HUMAN	29432.3	31159.1	31763.3	34490.3	32721.8	34112.5
O15304	SIVA1	1	HUMAN	2327.64	451.384		1635.93	1135.72	1371.95
O15305	PMM2	1	HUMAN	238556	247041	246808	212193	223548	172279
O15315	RAD51B	1	HUMAN	2577.83	2109.1	2221.21	2131.91	1524.74	2386.12
O15318	POLR3G	1	HUMAN	27634.6	23392.3	28962.1	29784.5	30176.2	29614.5
O15321	TM9SF1	1	HUMAN	4114.49	7732.91	9873.49	6131.98	5689.75	5305.13
O15344	MID1	1	HUMAN	14613.9	14319.6	16579.8	16169.6	15575.7	14922.2
O15347	HMGB3	1	HUMAN	322488	281869	420295	411444	376310	367860
O15355	PPM1G	1	HUMAN	462729	456959	510988	522819	438454	459621
O15357	INPPL1	1	HUMAN	11376.3	12112	13840	13225.2	13683.2	14697.2
O15360	FANCA	1	HUMAN	3090.66	3835.9	3338.41	1904.17	2985.3	2685.5
O15371	EIF3D	1	HUMAN	169290	172317	208668	213040	194136	199582
O15372	EIF3H	1	HUMAN	215766	207721	234558	229346	234539	239654
O15379	HDAC3	1	HUMAN	10681.4	8975.81	10180.7	10432	10906.3	12387.9
O15381	NVL	1	HUMAN	48432.4	40924.7	50480.4	46679.8	46511.3	43766.5
O15382	BCAT2	1	HUMAN	23022.8	25873.7	25387.7	26420.6	26539.2	25424.8
O15391	YY2	1	HUMAN	39126.1	42833.6	38126.2	31226	28577	35921.2
O15392	BIRC5	1	HUMAN		1658.55	1623.51	443.028	1253.19	1464.22
O15397	IPO8	1	HUMAN	66821.8	62558.1	69176.7	68026.2	74060	72688.5
O15400	STX7	1	HUMAN	28765	24015.1	35043.5	32373.1	33079.8	34131.1
O15409	FOXP2	1	HUMAN	2779.65	2237.22	1909.1	2624.75	1042.44	1543.44
O15417	TNRC18	1	HUMAN	18670.1	16457.6	21798.4	18686.9	11745.3	20782
O15431	SLC31A1	1	HUMAN	8828.74	7124.43	6401.3	5111.55	5421.26	6108.48
O15439	ABCC4	1	HUMAN	767561	525854	613919	601271	651087	685835
O15440	ABCC5	1	HUMAN	2992.67	2261	3219.41	2437.59	2364.64	1529.05
O15446	POLR1G	1	HUMAN	10250.1	9693.97	12984.5	13113.6	13613.4	11752.9
O15460	P4HA2	1	HUMAN	16180	12242.3	15148.2	17332.2	18012.9	18009.7
O15488	GYG2	1	HUMAN	3635.65		3157.4	4546.65	3138.25	4121.98
O15498	YKT6	1	HUMAN	45282.8	47082.8	49167.8	49645.9	49383.4	53476
O15504	NUP42	1	HUMAN	6119.56	5744.93	6100.75	9074.07	5944.47	7236.54
O15511	ARPC5	1	HUMAN	157184	159319	167873	173115	164506	168753
O15514	POLR2D	1	HUMAN	4021.83	3409.76	5422.98	5260.38	6117.7	5870.21
O15527	OGG1	1	HUMAN	9074.12	6603.09	7088.34	9156.34	6685.14	5500.31
O15530	PDPK1	1	HUMAN	13721.7	12321.6	15399.7	12759.1	15208.9	17988.8
O15533	TAPBP	1	HUMAN	1662.17		2067.61	3217.79	2401.91	2597.91
O15534	PER1	1	HUMAN		755.044	1380.88	1903	1284.98	1635.77
O15541	RNF113A	1	HUMAN	22195.8	21526.9	28910.4	26163.6	26485.2	23962.7
O15550	KDM6A	1	HUMAN	4075.65	4512.89	4261.51	4824.86	4423.84	4195.61
O43137	YBR085C-A	1	YEAST	40750.1	38201.3	27775.3	19088.2	3722.72	2521.14
O43143	DHX15	1	HUMAN	253969	243250	268131	288921	274051	270992
O43148	RNMT	1	HUMAN	27326.3	26643.4	28375.4	25653.3	26561.9	25949.8
