Channel,Label,Control
126,none,FALSE
127N,FUS_ERG,FALSE
127C,Control,TRUE
128N,FUS_ERG,FALSE
128C,Control,TRUE
129N,FUS,FALSE
129C,ERG,FALSE
130N,FUS,FALSE
130C,ERG,FALSE
131,none,FALSE
