Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
O95396	11543.4	9367.71	11419.7	11141.5	10437.7	9903.48
O95400	84570.8	72050.3	109544	105229	95486.9	92926.7
O95402	6317.01	5879.15	7410.13	8003.14	7155.93	7431.17
O95405	9182.9	6684.18	12146.1	9454.04	9873.48	9993.32
O95425	8621.16	6562.21	9249.53	10836.7	8723	7726.93
O95429	9153.65	10438.5	11407.8	11549.2	13380.8	13514.7
O95433	265183	279490	286885	297803	276022	266078
O95453	15524.8	17216.9	18072.7	17924.5	15060.7	14942.1
O95455	1307.26	835.392	524.404	747.795	608.069	780.105
O95456	39519.7	33200.8	43970.2	46977.3	45356.9	44952.8
O95466	13617	21325.6	27248.7	19205.3	18386.5	12046.3
O95470	40732.4	39890.8	46041.1	42504.8	40046	47566.1
O95475	6804.38	5525.66	11132.3	10147.3	8852.3	7631.48
O95476	14655	8301.32	21919.9	15206.5	16931.8	19874.7
O95478	18367.6	21146.7	22880.7	21867.8	20976.5	21734.8
O95479	3055.88	3058.24	3924.12	3707.23	2927.64	3628.35
O95486	38629.7	31532.5	39116.3	38923.9	32219.2	29495.8
O95487	21022	21580.4	21065.7	22091.5	20320.9	22463.9
O95490	1859.32	2615.13	3191.61	3172.06	3834.93	2890.78
O95503	7026.38	7199.02	6599.94	7226.86	7267.87	7354.27
O95544	2407.79	2253.77	2391.35	2907.13	2250.71	2806.39
O95551	13817.9	15089.5	16628.9	16303.7	15040.7	15889
O95562	16683.6	14649.9	12074.9	14689.4	9678.3	11134.2
O95563	5712.45	4206.12	6650	3151.46	4632.35	7005.01
O95568	4872.39	6295.25	4572.48	5824.63	4260	4095.14
O95571	31747.4	27717.1	31433.5	31662.3	30452.2	31715.3
O95573	50589.7	50567.6	60805	57195.5	60005.7	52596.9
O95602	45809.5	51648.1	46808.4	50822.5	53765.2	49998.9
O95613	13030.7	11399.9	14709.5	14477.8	15085.8	15862.1
O95619	7625.16	8087.84	10216.4	10504.9	10238.2	8737.08
O95625	22882.1	20937.7	27191.2	25105.5	30774.7	26534.3
O95626	156223	159304		164706	93801	86650.9
O95628	11553.3	13405.1	14595	14192.2	10889.5	10446.7
O95630	51374.2	45400.9	42714.6	50778.7	54828.8	52389.1
O95639	10594.4	7408.8	15804.7	16107.5	13669.2	16225.6
O95644	8178	8683.95	5795.12	6291.99	5346.55	8845.8
O95671	3707.23	3975.97	4197.92	5189.28	4584.69	4804.19
O95674	4689.83	5939.67	4079.52	4343.37	6210.52	5418.36
O95677	2325.9	2854.21	2091.07	2540.93	2151.37	1710.48
O95678	122291	99402.3	38225.4	40294.2	92163.8	77017.3
O95684	23336.8	23728.5	22557.1	24837	24767.8	24111
O95685	3658.64	2947.37	4003.28	4984.34	4067.72	3480.73
O95707	12838.6	13919.6	14446	13546.2	14361	12951.1
O95714	15490.3	12242.1	12863.7	15054	12515	12222
O95716	9632.44	9674.7	6154.28	11002.4	9196.68	10484.1
O95718	4283.21	3026.18	2941.06	3788.78	3265.27	2876.89
O95721	42999.8	37387.7	50601.5	51803.3	44205.7	42231.4
O95747	105601	102530	101786	104694	103779	99908.9
O95749	16390.7	12984.7	18794.2	17485.5	21895.9	16894.7
O95757	210589	205063	220433	231687	219439	212876
O95758	11914.4	11857.2	12792.4	12435.7	12644.8	12771
O95772	23549.5	19597.6	24340.9	19640	19620.8	18612.4
O95777	148434	139890	142902	175525	159553	131927
O95782	90540.2	91362.9	94384.9	98645.2	93663.6	93796.9
O95785	7952.02	5600.48	9147.54	7479.31	5512.77	8023.08
O95789	993284	821266	1102260	1095790	404963	573006
