Channel,Label,Control
126,Vector,TRUE
127N,N,FALSE
127C,M,FALSE
128N,orf3a,FALSE
128C,orf6,FALSE
129N,Vector,TRUE
129C,N,FALSE
130N,M,FALSE
130C,orf3a,FALSE
131,orf6,FALSE
