Channel,Label,Control
126,PHAGE,FALSE
127N,nsp16,FALSE
127C,Control,TRUE
128N,UBE3CWT,FALSE
128C,UBE3CMut,FALSE
129N,PHAGE,FALSE
129C,nsp16,FALSE
130N,Control,TRUE
130C,UBE3CWT,FALSE
131,UBE3CMut,FALSE
