Channel,Label,Control
126,GFP,TRUE
127N,RPB1,FALSE
127C,NELFA,FALSE
128N,SPT4,FALSE
128C,PAF1,FALSE
129N,GFP,TRUE
129C,RPB1,FALSE
130N,NELFA,FALSE
130C,SPT4,FALSE
131,PAF1,FALSE
