Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
P14406	6794.4	7893.29	7469.9	7345.63	4817.95	5909.66
P14540	6851510	6322190	3340830	3248460	794387	823564
P14550	523791	535758	534872	589309	520950	519206
P14618	1957030	1813790	2182460	2136790	1935260	1891070
P14621	4153.67	5910.33	5068.37	5532.61	4259.09	6099.31
P14625	915564	822531	918161	927345	862282	838938
P14635	32633	33888.5	33289.2	31211.3	25768.4	30088.6
P14649	11399.3	12746.9	11598.5	18258.2	14536.8	15050
P14678	695426	579948	620784	626109	1024240	965370
P14680	4737.24	5129.61	2796.51	3228.61		
P14682	29206.6	19872.8	9827.74	10049.7	2079.81	1790.66
P14693	15305.6	12354.1	7605.18	6145.01	11097.2	
P14735	185115	188139	197135	195363	171968	177866
P14741	24512.7	19987.1	12883.9	12922.4	3964.08	4411.75
P14742	161188	139557	73909.1	71206.9	16053.6	16849
P14743	27107.3	23185.2	9880.93	10536.6	2554.92	3395.64
P14747	19579	21092.7	9417.6	8498.69	2442.91	3102.35
P14772	48030.4	51164.7	28890.8	21816	8344.82	5900.84
P14832	922436	875121	424371	422999	91796.3	89612.2
P14843	72676.3	74967.1	39388.6	34942.2	9583.92	7477.34
P14854	8368.53	4733.7	12228.8	12233.4	7008.45	6044.87
P14859	20120	19180	20731.9	22040.5	19988.6	21856
P14866	138479	141832	152911	160569	141640	131797
P14868	486760	433648	516268	523637	485898	473740
P14904	411949	416220	190030	210666	56234.1	60328
P14906	101353	97632.4	46767.1	42719.1	9946.39	12654.1
P14907	111446	107396	61635.9	59260	13139.8	13384.5
P14908	5815.79	6548.95	3907.81	2829.02	1319.73	
P14922	24075	22284.4	11274	11033.6	4327.94	3322.11
P14923	16827	16636.5	18438.9	19684.1	20206.4	21289.9
P14927	9105.52	5952	10555	9679.78	10470.9	10488.2
P15019	1708310	1537010	799229	766845	179038	184476
P15042	26259.3	28162.3	19197.3	13587.9	17030.6	15264.9
P15056	12233.9	13515	11273.4	15167.7	15561.8	14987.8
P15104	112497	101687	121172	121506	121510	120259
P15108	1005730	949021	452053	447354	104360	105303
P15121	533059	494920	602555	596896	601145	605951
P15151	8968.64	5731.03	8082.27	9105.16	7900.66	6374.18
P15153	98121.1	71893.1	127300	88319.5	129758	121489
P15170	152477	142430	184917	189709	181336	189363
P15180	586749	598452	258828	259994	53900.9	55832.5
P15260	883.409	1055.23	2552.85	2143.54	1641.24	2481.32
P15274	51106.2	52602.2	23444.2	20890.4	7368.23	5609.86
P15289	4254	5982.41	6476.26	7343.37	8970.81	7438.58
P15291	6503.76	7784.68	5638.49	7751.73	8354.42	7987.81
P15303	202546	184797	92998.8	83251.2	20621	22160.7
P15309	36163.1	43018.5	40860.9	44189.9	43139.6	41314.6
P15311	937404	876326	1048320	1072280	1070150	1147970
P15336	6935.71	5066.54	5499.7	6323.65	6204.1	6476.96
