Channel,Label,Control
126,GFPnvp2,TRUE
127N,RPB1nvp2,FALSE
127C,NELFAnvp2,FALSE
128N,SPT4nvp2,FALSE
128C,PAF1nvp2,FALSE
129N,GFPnvp2,TRUE
129C,RPB1nvp2,FALSE
130N,NELFAnvp2,FALSE
130C,SPT4nvp2,FALSE
131,PAF1nvp2,FALSE
